Average test error: 0.056
Distinct weight vectors and their counts:
Weight vector: [0. 0. 0. 0.], Count: 4
Weight vector: [-39.6800667 -27.34197   -33.9954946 -19.0558758], Count: 21
Weight vector: [-43.2853667 -33.31597   -23.9038946 -19.8843358], Count: 27
Weight vector: [-43.1242867 -26.85357   -32.2611946 -18.3627358], Count: 16
Weight vector: [-41.5338867 -24.64147   -35.3794946 -18.4799858], Count: 11
Weight vector: [-45.2299867 -38.31937   -17.7999946 -21.0980858], Count: 12
Weight vector: [-44.3348667 -33.54557   -22.6430946 -26.6889858], Count: 1
Weight vector: [-44.8543367 -30.28227   -25.7325946 -25.7040658], Count: 81
Weight vector: [-44.6103967 -28.80897   -27.1517946 -26.2894158], Count: 7
Weight vector: [-45.2704767 -32.03497   -23.3459946 -25.1058158], Count: 25
Weight vector: [-45.5996767 -27.57977   -27.9177946 -24.1170158], Count: 1
Weight vector: [-43.5686767 -25.72777   -30.9298946 -24.1140128], Count: 38
Weight vector: [-41.5509767 -23.92957   -33.8879946 -23.9041128], Count: 10
Weight vector: [-41.3266567 -24.45104   -34.2918546 -22.7024128], Count: 13
Weight vector: [-40.5823767 -28.22334   -32.6787546 -21.1270128], Count: 14
Weight vector: [-40.5783222 -27.59429   -33.3199646 -20.3688428], Count: 11
Weight vector: [-39.3585222 -25.49609   -36.5153646 -20.2404128], Count: 1
Weight vector: [-40.0792022 -32.25439   -30.6745646 -19.6167228], Count: 10
Weight vector: [-39.5612022 -31.99574   -31.5154146 -18.6555428], Count: 72
Weight vector: [-40.9272022 -31.81158   -30.6100246 -17.0749428], Count: 5
Weight vector: [-39.4771022 -28.20488   -34.6657246 -18.6715428], Count: 2
Weight vector: [-44.1536022 -33.86848   -23.6967246 -19.0060328], Count: 13
Weight vector: [-44.0323422 -33.64501   -24.1699946 -18.0357928], Count: 12
Weight vector: [-41.8380422 -29.09471   -29.1459946 -20.7611928], Count: 36
Weight vector: [-40.7828422 -27.90901   -31.7870946 -20.6508628], Count: 7
Weight vector: [-42.7894422 -34.62801   -22.7708946 -20.5508778], Count: 4
Weight vector: [-41.2998422 -31.19921   -26.8017946 -21.9767778], Count: 10
Weight vector: [-41.7078822 -30.65707   -27.3290446 -21.3181778], Count: 36
Weight vector: [-40.3895822 -28.75537   -30.6401446 -21.2531068], Count: 9
Weight vector: [-40.5625422 -29.93697   -29.2583446 -20.5195068], Count: 7
Weight vector: [-42.1654422 -30.326     -27.6383446 -18.6092068], Count: 16
Weight vector: [-42.4946822 -25.8708    -32.2101446 -17.6204068], Count: 6
Weight vector: [-44.2050822 -30.6488    -25.9992446 -17.2230068], Count: 3
Weight vector: [-43.8287122 -31.47238   -25.2138146 -16.4777668], Count: 4
Weight vector: [-43.2693222 -31.78278   -25.0307446 -16.0312368], Count: 31
Weight vector: [-43.7888222 -28.51948   -28.1202446 -15.0463368], Count: 4
Weight vector: [-42.2078222 -27.65039   -30.4340446 -14.2222168], Count: 3
Weight vector: [-41.1884222 -26.54749   -32.7340446 -13.6282668], Count: 6
Weight vector: [-44.3307222 -39.58399   -17.0567446 -14.2899168], Count: 8
Weight vector: [-45.2604222 -35.78689   -21.6996446 -13.9942168], Count: 13
Weight vector: [-45.1942932 -33.29549   -24.6397446 -14.6157768], Count: 12
Weight vector: [-43.5143932 -29.08869   -29.1795446 -17.0088768], Count: 7
Weight vector: [-43.1709932 -28.96454   -29.4668746 -16.8623368], Count: 12
Weight vector: [-43.2881532 -28.36032   -29.8527446 -16.9214018], Count: 34
Weight vector: [-41.9363532 -27.30082   -32.1964446 -16.5214218], Count: 73
Weight vector: [-42.7109632 -29.17762   -29.7941446 -15.3895218], Count: 6
Weight vector: [-41.2032632 -27.21802   -32.8525446 -15.5119518], Count: 38
Weight vector: [-41.2285772 -27.39185   -32.9659346 -14.2921518], Count: 6
Weight vector: [-42.7906772 -29.60395   -28.7068346 -14.0124318], Count: 10
Weight vector: [-42.7604582 -30.65515   -27.3044346 -13.2387418], Count: 31
Weight vector: [-42.5461482 -31.35044   -26.4273246 -12.9422118], Count: 37
Weight vector: [-40.1544482 -26.79394   -31.4161246 -15.8409118], Count: 32
Weight vector: [-43.2410482 -33.43014   -20.8756246 -16.7327318], Count: 2
Weight vector: [-44.3598482 -30.09444   -22.2211246 -18.6900318], Count: 14
Weight vector: [-44.1987682 -23.63204   -30.5784246 -17.1684318], Count: 16
Weight vector: [-42.6083682 -21.41994   -33.6967246 -17.2856818], Count: 11
Weight vector: [-46.3044682 -35.09784   -16.1172246 -19.9037818], Count: 12
Weight vector: [-45.4093482 -30.32404   -20.9603246 -25.4946818], Count: 1
Weight vector: [-45.9288182 -27.06074   -24.0498246 -24.5097618], Count: 81
Weight vector: [-45.6848782 -25.58744   -25.4690246 -25.0951118], Count: 7
Weight vector: [-46.3449582 -28.81344   -21.6632246 -23.9115118], Count: 25
Weight vector: [-46.6741582 -24.35824   -26.2350246 -22.9227118], Count: 1
Weight vector: [-44.6431582 -22.50624   -29.2471246 -22.9197088], Count: 38
Weight vector: [-42.6254582 -20.70804   -32.2052246 -22.7098088], Count: 10
Weight vector: [-42.4011382 -21.22951   -32.6090846 -21.5081088], Count: 13
Weight vector: [-41.6568582 -25.00181   -30.9959846 -19.9327088], Count: 14
Weight vector: [-41.6528037 -24.37276   -31.6371946 -19.1745388], Count: 11
Weight vector: [-40.4330037 -22.27456   -34.8325946 -19.0461088], Count: 1
Weight vector: [-41.1536837 -29.03286   -28.9917946 -18.4224188], Count: 6
Weight vector: [-40.3667837 -38.59916   -25.2050946 -10.9190188], Count: 4
Weight vector: [-39.8487837 -38.34051   -26.0459446  -9.9578388], Count: 6
Weight vector: [-41.2433837 -36.02711   -26.4909346 -11.4483388], Count: 22
Weight vector: [-40.1796837 -32.33141   -30.6503346 -13.3862388], Count: 15
Weight vector: [-42.2325837 -28.49291   -31.4457746 -14.6000388], Count: 34
Weight vector: [-40.7824837 -24.88621   -35.5014746 -16.1966388], Count: 2
Weight vector: [-45.4589837 -30.54981   -24.5324746 -16.5311288], Count: 13
Weight vector: [-45.3377237 -30.32634   -25.0057446 -15.5608888], Count: 12
Weight vector: [-43.1434237 -25.77604   -29.9817446 -18.2862888], Count: 34
Weight vector: [-46.5016237 -33.01644   -18.5398446 -18.8574188], Count: 2
Weight vector: [-45.4464237 -31.83074   -21.1809446 -18.7470888], Count: 11
Weight vector: [-43.9568237 -28.40194   -25.2118446 -20.1729888], Count: 46
Weight vector: [-42.6385237 -26.50024   -28.5229446 -20.1079178], Count: 9
Weight vector: [-42.8114837 -27.68184   -27.1411446 -19.3743178], Count: 7
Weight vector: [-44.4143837 -28.07087   -25.5211446 -17.4640178], Count: 16
Weight vector: [-44.7436237 -23.61567   -30.0929446 -16.4752178], Count: 6
Weight vector: [-46.4540237 -28.39367   -23.8820446 -16.0778178], Count: 3
Weight vector: [-46.0776537 -29.21725   -23.0966146 -15.3325778], Count: 4
Weight vector: [-45.5182637 -29.52765   -22.9135446 -14.8860478], Count: 31
Weight vector: [-46.0377637 -26.26435   -26.0030446 -13.9011478], Count: 4
Weight vector: [-44.4567637 -25.39526   -28.3168446 -13.0770278], Count: 3
Weight vector: [-43.4373637 -24.29236   -30.6168446 -12.4830778], Count: 6
Weight vector: [-46.5796637 -37.32886   -14.9395446 -13.1447278], Count: 8
Weight vector: [-47.5093637 -33.53176   -19.5824446 -12.8490278], Count: 13
Weight vector: [-47.4432347 -31.04036   -22.5225446 -13.4705878], Count: 12
Weight vector: [-45.7633347 -26.83356   -27.0623446 -15.8636878], Count: 7
Weight vector: [-45.4199347 -26.70941   -27.3496746 -15.7171478], Count: 46
Weight vector: [-44.0681347 -25.64991   -29.6933746 -15.3171678], Count: 73
Weight vector: [-44.8427447 -27.52671   -27.2910746 -14.1852678], Count: 6
Weight vector: [-43.3350447 -25.56711   -30.3494746 -14.3076978], Count: 18
Weight vector: [-42.3233447 -24.66491   -32.7000746 -13.8805578], Count: 20
Weight vector: [-42.3486587 -24.83874   -32.8134646 -12.6607578], Count: 6
Weight vector: [-43.9107587 -27.05084   -28.5543646 -12.3810378], Count: 10
Weight vector: [-43.8805397 -28.10204   -27.1519646 -11.6073478], Count: 31
Weight vector: [-43.6662297 -28.79733   -26.2748546 -11.3108178], Count: 37
Weight vector: [-41.2745297 -24.24083   -31.2636546 -14.2095178], Count: 21
Weight vector: [-44.8798297 -30.21483   -21.1720546 -15.0379778], Count: 27
Weight vector: [-44.7187497 -23.75243   -29.5293546 -13.5163778], Count: 16
Weight vector: [-43.1283497 -21.54033   -32.6476546 -13.6336278], Count: 11
Weight vector: [-46.8244497 -35.21823   -15.0681546 -16.2517278], Count: 12
Weight vector: [-45.9293297 -30.44443   -19.9112546 -21.8426278], Count: 1
Weight vector: [-46.4487997 -27.18113   -23.0007546 -20.8577078], Count: 81
Weight vector: [-46.2048597 -25.70783   -24.4199546 -21.4430578], Count: 7
Weight vector: [-46.8649397 -28.93383   -20.6141546 -20.2594578], Count: 25
Weight vector: [-47.1941397 -24.47863   -25.1859546 -19.2706578], Count: 1
Weight vector: [-45.1631397 -22.62663   -28.1980546 -19.2676548], Count: 38
Weight vector: [-43.1454397 -20.82843   -31.1561546 -19.0577548], Count: 10
Weight vector: [-42.9211197 -21.3499    -31.5600146 -17.8560548], Count: 13
Weight vector: [-42.1768397 -25.1222    -29.9469146 -16.2806548], Count: 14
Weight vector: [-42.1727852 -24.49315   -30.5881246 -15.5224848], Count: 11
Weight vector: [-40.9529852 -22.39495   -33.7835246 -15.3940548], Count: 1
Weight vector: [-41.6736652 -29.15325   -27.9427246 -14.7703648], Count: 10
Weight vector: [-41.1556652 -28.8946    -28.7835746 -13.8091848], Count: 28
Weight vector: [-40.0919652 -25.1989    -32.9429746 -15.7470848], Count: 18
Weight vector: [-43.3611652 -37.9395    -17.3856746 -15.8889048], Count: 31
Weight vector: [-41.9110652 -34.3328    -21.4413746 -17.4855048], Count: 15
Weight vector: [-41.7898052 -34.10933   -21.9146446 -16.5152648], Count: 12
Weight vector: [-39.5955052 -29.55903   -26.8906446 -19.2406648], Count: 36
Weight vector: [-38.5403052 -28.37333   -29.5317446 -19.1303348], Count: 7
Weight vector: [-40.5469052 -35.09233   -20.5155446 -19.0303498], Count: 4
Weight vector: [-39.0573052 -31.66353   -24.5464446 -20.4562498], Count: 10
Weight vector: [-39.4653452 -31.12139   -25.0736946 -19.7976498], Count: 36
Weight vector: [-38.1470452 -29.21969   -28.3847946 -19.7325788], Count: 9
Weight vector: [-38.3200052 -30.40129   -27.0029946 -18.9989788], Count: 7
Weight vector: [-39.9229052 -30.79032   -25.3829946 -17.0886788], Count: 16
Weight vector: [-40.2521452 -26.33512   -29.9547946 -16.0998788], Count: 9
Weight vector: [-39.8757752 -27.1587    -29.1693646 -15.3546388], Count: 4
Weight vector: [-39.3163852 -27.4691    -28.9862946 -14.9081088], Count: 35
Weight vector: [-37.7353852 -26.60001   -31.3000946 -14.0839888], Count: 3
Weight vector: [-36.7159852 -25.49711   -33.6000946 -13.4900388], Count: 6
Weight vector: [-39.8582852 -38.53361   -17.9227946 -14.1516888], Count: 3
Weight vector: [-46.9003852 -29.33361   -17.6634646 -18.8348888], Count: 18
Weight vector: [-46.8342562 -26.84221   -20.6035646 -19.4564488], Count: 12
Weight vector: [-45.1543562 -22.63541   -25.1433646 -21.8495488], Count: 7
Weight vector: [-44.8109562 -22.51126   -25.4306946 -21.7030088], Count: 46
Weight vector: [-43.4591562 -21.45176   -27.7743946 -21.3030288], Count: 16
Weight vector: [-45.1411562 -28.26386   -20.6345946 -19.9707288], Count: 23
Weight vector: [-43.4080562 -24.30946   -25.3757946 -22.4724288], Count: 14
Weight vector: [-43.6219962 -24.99233   -25.2792626 -21.2759288], Count: 20
Weight vector: [-44.3966062 -26.86913   -22.8769626 -20.1440288], Count: 1
Weight vector: [-43.6097062 -36.43543   -19.0902626 -12.6406288], Count: 5
Weight vector: [-42.1020062 -34.47583   -22.1486626 -12.7630588], Count: 8
Weight vector: [-44.1305062 -30.62903   -22.7830126 -13.9380588], Count: 10
Weight vector: [-43.1188062 -29.72683   -25.1336126 -13.5109188], Count: 20
Weight vector: [-43.1441202 -29.90066   -25.2470026 -12.2911188], Count: 16
Weight vector: [-43.1139012 -30.95186   -23.8446026 -11.5174288], Count: 28
Weight vector: [-42.3763012 -26.09936   -28.6432026 -17.1833288], Count: 3
Weight vector: [-42.1619912 -26.79465   -27.7660926 -16.8867988], Count: 8
Weight vector: [-43.3286912 -28.21835   -24.8419926 -16.2256088], Count: 8
Weight vector: [-42.7281912 -27.2189    -27.0545926 -16.1282098], Count: 21
Weight vector: [-40.3364912 -22.6624    -32.0433926 -19.0269098], Count: 21
Weight vector: [-43.9417912 -28.6364    -21.9517926 -19.8553698], Count: 27
Weight vector: [-43.7807112 -22.174     -30.3090926 -18.3337698], Count: 16
Weight vector: [-42.1903112 -19.9619    -33.4273926 -18.4510198], Count: 11
Weight vector: [-45.8864112 -33.6398    -15.8478926 -21.0691198], Count: 12
Weight vector: [-44.9912912 -28.866     -20.6909926 -26.6600198], Count: 1
Weight vector: [-45.5107612 -25.6027    -23.7804926 -25.6750998], Count: 81
Weight vector: [-45.2668212 -24.1294    -25.1996926 -26.2604498], Count: 7
Weight vector: [-45.9269012 -27.3554    -21.3938926 -25.0768498], Count: 25
Weight vector: [-46.2561012 -22.9002    -25.9656926 -24.0880498], Count: 1
Weight vector: [-44.2251012 -21.0482    -28.9777926 -24.0850468], Count: 38
Weight vector: [-42.2074012 -19.25      -31.9358926 -23.8751468], Count: 10
Weight vector: [-41.9830812 -19.77147   -32.3397526 -22.6734468], Count: 13
Weight vector: [-41.2388012 -23.54377   -30.7266526 -21.0980468], Count: 14
Weight vector: [-41.2347467 -22.91472   -31.3678626 -20.3398768], Count: 11
Weight vector: [-40.0149467 -20.81652   -34.5632626 -20.2114468], Count: 1
Weight vector: [-40.7356267 -27.57482   -28.7224626 -19.5877568], Count: 6
Weight vector: [-39.9487267 -37.14112   -24.9357626 -12.0843568], Count: 4
Weight vector: [-39.4307267 -36.88247   -25.7766126 -11.1231768], Count: 6
Weight vector: [-40.8253267 -34.56907   -26.2216026 -12.6136768], Count: 22
Weight vector: [-39.7616267 -30.87337   -30.3810026 -14.5515768], Count: 44
Weight vector: [-41.1276267 -30.68921   -29.4756126 -12.9709768], Count: 5
Weight vector: [-39.6775267 -27.08251   -33.5313126 -14.5675768], Count: 2
Weight vector: [-44.3540267 -32.74611   -22.5623126 -14.9020668], Count: 13
Weight vector: [-44.2327667 -32.52264   -23.0355826 -13.9318268], Count: 12
Weight vector: [-42.0384667 -27.97234   -28.0115826 -16.6572268], Count: 36
Weight vector: [-40.9832667 -26.78664   -30.6526826 -16.5468968], Count: 7
Weight vector: [-42.9898667 -33.50564   -21.6364826 -16.4469118], Count: 4
Weight vector: [-41.5002667 -30.07684   -25.6673826 -17.8728118], Count: 46
Weight vector: [-40.1819667 -28.17514   -28.9784826 -17.8077408], Count: 9
Weight vector: [-40.3549267 -29.35674   -27.5966826 -17.0741408], Count: 7
Weight vector: [-41.9578267 -29.74577   -25.9766826 -15.1638408], Count: 16
Weight vector: [-42.2870667 -25.29057   -30.5484826 -14.1750408], Count: 6
Weight vector: [-43.9974667 -30.06857   -24.3375826 -13.7776408], Count: 3
Weight vector: [-43.6210967 -30.89215   -23.5521526 -13.0324008], Count: 4
Weight vector: [-43.0617067 -31.20255   -23.3690826 -12.5858708], Count: 31
Weight vector: [-43.5812067 -27.93925   -26.4585826 -11.6009708], Count: 4
Weight vector: [-42.0002067 -27.07016   -28.7723826 -10.7768508], Count: 3
Weight vector: [-40.9808067 -25.96726   -31.0723826 -10.1829008], Count: 6
Weight vector: [-44.1231067 -39.00376   -15.3950826 -10.8445508], Count: 3
Weight vector: [-51.1652067 -29.80376   -15.1357526 -15.5277508], Count: 18
Weight vector: [-51.0990777 -27.31236   -18.0758526 -16.1493108], Count: 12
Weight vector: [-49.4191777 -23.10556   -22.6156526 -18.5424108], Count: 7
Weight vector: [-49.0757777 -22.98141   -22.9029826 -18.3958708], Count: 2
Weight vector: [-48.3351077 -21.25151   -26.0992826 -18.5415708], Count: 44
Weight vector: [-46.9833077 -20.19201   -28.4429826 -18.1415908], Count: 16
Weight vector: [-48.6653077 -27.00411   -21.3031826 -16.8092908], Count: 23
Weight vector: [-46.9322077 -23.04971   -26.0443826 -19.3109908], Count: 34
Weight vector: [-47.7068177 -24.92651   -23.6420826 -18.1790908], Count: 1
Weight vector: [-46.9199177 -34.49281   -19.8553826 -10.6756908], Count: 5
Weight vector: [-45.4122177 -32.53321   -22.9137826 -10.7981208], Count: 8
Weight vector: [-47.4407177 -28.68641   -23.5481326 -11.9731208], Count: 10
Weight vector: [-46.4290177 -27.78421   -25.8987326 -11.5459808], Count: 20
Weight vector: [-46.4543317 -27.95804   -26.0121226 -10.3261808], Count: 16
Weight vector: [-46.4241127 -29.00924   -24.6097226  -9.5524908], Count: 28
Weight vector: [-45.6865127 -24.15674   -29.4083226 -15.2183908], Count: 3
Weight vector: [-45.4722027 -24.85203   -28.5312126 -14.9218608], Count: 8
Weight vector: [-46.6389027 -26.27573   -25.6071126 -14.2606708], Count: 29
Weight vector: [-44.2472027 -21.71923   -30.5959126 -17.1593708], Count: 21
Weight vector: [-47.8525027 -27.69323   -20.5043126 -17.9878308], Count: 27
Weight vector: [-47.6914227 -21.23083   -28.8616126 -16.4662308], Count: 16
Weight vector: [-46.1010227 -19.01873   -31.9799126 -16.5834808], Count: 11
Weight vector: [-49.7971227 -32.69663   -14.4004126 -19.2015808], Count: 12
Weight vector: [-48.9020027 -27.92283   -19.2435126 -24.7924808], Count: 1
Weight vector: [-49.4214727 -24.65953   -22.3330126 -23.8075608], Count: 81
Weight vector: [-49.1775327 -23.18623   -23.7522126 -24.3929108], Count: 7
Weight vector: [-49.8376127 -26.41223   -19.9464126 -23.2093108], Count: 25
Weight vector: [-50.1668127 -21.95703   -24.5182126 -22.2205108], Count: 1
Weight vector: [-48.1358127 -20.10503   -27.5303126 -22.2175078], Count: 38
Weight vector: [-46.1181127 -18.30683   -30.4884126 -22.0076078], Count: 10
Weight vector: [-45.8937927 -18.8283    -30.8922726 -20.8059078], Count: 13
Weight vector: [-45.1495127 -22.6006    -29.2791726 -19.2305078], Count: 14
Weight vector: [-45.1454582 -21.97155   -29.9203826 -18.4723378], Count: 11
Weight vector: [-43.9256582 -19.87335   -33.1157826 -18.3439078], Count: 1
Weight vector: [-44.6463382 -26.63165   -27.2749826 -17.7202178], Count: 6
Weight vector: [-43.8594382 -36.19795   -23.4882826 -10.2168178], Count: 4
Weight vector: [-43.3414382 -35.9393    -24.3291326  -9.2556378], Count: 27
Weight vector: [-43.0681282 -31.062     -29.2485326 -15.0754378], Count: 1
Weight vector: [-42.0044282 -27.3663    -33.4079326 -17.0133378], Count: 4
